OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV20,AMT,DA,0.029289531, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,AMT,PT,0.028068612, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,JER,CL,0.030830433, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,JER,PT,0.019972764, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,JER,DA,0.019817073, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,JER,LA,0.016363217, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,VOL,DA,0.162358357, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,VOL,PT,0.130108588, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,VOL,CL,0.098011364, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV20,VOL,LA,0.079626244, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
ASV202,JER,MO,0.019042437, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV202,JER,LA,0.016132749, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV202,JER,CL,0.011602851, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
